idx,wordplay,prompt_tokens,completion_tokens
322,False,179,83
323,False,185,83
324,False,182,275
325,False,172,19
326,True,165,19
327,False,166,83
328,False,166,83
330,False,179,19
331,False,166,19
332,False,175,83
333,False,183,211
334,False,181,147
335,False,191,211
336,False,189,83
337,True,190,211
338,False,194,83
339,False,180,83
340,False,173,19
341,False,185,83
342,False,175,83
343,True,173,83
344,False,180,83
345,False,184,19
346,False,182,19
347,False,167,19
348,False,159,275
349,False,170,19
352,False,178,19
353,False,181,19
354,False,166,83
355,False,174,83
357,False,195,211
358,False,172,147
359,False,181,19
360,False,189,83
361,False,197,83
362,False,180,147
363,False,173,83
364,False,164,83
365,False,171,83
366,False,162,83
367,False,165,19
368,False,179,147
369,False,180,211
370,False,172,83
371,False,177,147
372,False,191,211
373,False,166,211
374,False,171,19
375,False,178,147
376,True,177,147
377,False,169,83
378,False,195,83
380,False,175,19
381,True,163,147
382,False,184,147
383,False,178,83
384,True,165,211
385,False,172,83
386,False,184,19
387,False,196,147
388,False,179,83
389,False,169,19
390,False,177,211
391,False,174,147
392,False,183,83
393,False,179,83
394,False,175,147
395,True,170,83
396,False,170,275
397,False,180,147
398,False,193,83
399,False,167,19
400,True,165,147
401,False,162,147
402,False,175,211
403,True,166,275
403,True,182,19
404,True,172,275
405,False,169,19
406,False,169,147
407,False,172,403
408,True,177,19
409,False,168,83
410,False,171,19
411,False,169,83
412,False,165,83
413,False,168,19
414,False,171,147
415,False,164,19
416,False,172,19
417,True,174,83
418,False,165,19
419,False,173,83
420,False,168,211
421,False,174,19
422,False,185,83
423,False,172,19
424,False,171,83
425,False,171,19
426,False,180,83
427,True,173,211
428,False,163,83
429,False,173,147
430,True,173,211
431,False,175,83
432,False,171,19
434,True,155,83
435,False,160,211
437,False,172,19
438,True,170,83
439,False,163,19
440,False,166,147
441,True,163,83
443,False,174,147
444,False,175,211
445,False,168,83
446,False,165,83
447,False,173,83
448,False,178,83
449,False,183,147
450,False,197,275
451,False,186,19
452,True,184,147
453,False,174,83
454,False,178,83
455,False,172,83
456,False,166,83
457,False,171,83
458,False,171,147
460,False,169,147
461,True,166,19
462,False,180,83
463,True,169,275
464,True,175,147
465,False,185,147
466,False,175,83
467,True,174,83
468,False,165,19
469,False,164,83
470,True,177,211
471,True,193,83
472,False,182,147
473,False,171,147
474,False,180,83
475,False,173,19
476,True,182,83
477,True,175,147
478,False,176,83
479,True,182,211
480,False,165,83
481,False,165,19
482,True,171,211
483,False,168,83
484,False,176,19
485,False,174,147
486,False,186,83
487,False,175,19
488,False,172,83
489,False,177,19
490,False,173,19
491,True,179,83
492,False,168,83
493,True,181,83
494,True,174,147
495,False,185,147
496,False,175,19
497,False,178,19
498,False,182,147
499,False,176,83
500,False,172,19
501,True,173,83
502,False,175,147
503,False,167,19
504,False,180,19
505,False,184,147
506,False,183,83
507,False,173,83
508,False,171,83
509,True,174,147
510,False,170,211
511,False,180,19
512,False,177,83
513,False,167,19
514,True,174,275
515,False,193,83
516,False,171,147
517,True,181,275
